comment,label
The villain's true identity is revealed in the final scene.,1
Agent Lee is actually working for the enemy all along.,1
I never expected the ending—David sacrifices himself!,1
The secret to the bloodline is hidden in the old diary.,1
The final betrayal at the rooftop was shocking to me.,1
Sarah survives the explosion in the hospital twist.,1
The cinematography throughout was breathtaking.,0
I loved the background score, especially in tense scenes.,0
This is one of the best action thrillers I've seen.,0
David's performance kept me engaged the whole time.,0
The story was suspenseful from start to finish.,0
The supporting cast also did a fantastic job.,0
